"source","target","text","flow"
"ZA","LS","%flow MWyr",36
"MW","MZ","%flow MWyr",31
"BW","ZA","%flow MWyr",118
"MZ","ZA","%flow MWyr",275
"SZ","ZA","%flow MWyr",1088
"MZ","SZ","%flow MWyr",1155
"CD","ZM","%flow MWyr",206
"NA","ZM","%flow MWyr",480
"ZW","ZM","%flow MWyr",627
"MZ","ZW","%flow MWyr",396
"NA","ZW","%flow MWyr",233
"ZA","ZW","%flow MWyr",264
